LOB,origin,valuation,development,IncurLoss,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet
comauto,1/1/1988,12/31/1988,12,600839,154058,182604,1099729,186093,913636
comauto,1/1/1988,12/31/1989,24,632654,326916,90656,1099729,186093,913636
comauto,1/1/1988,12/31/1990,36,645663,447963,54262,1099729,186093,913636
comauto,1/1/1988,12/31/1991,48,646526,528167,27431,1099729,186093,913636
comauto,1/1/1988,12/31/1992,60,642177,574471,14819,1099729,186093,913636
comauto,1/1/1988,12/31/1993,72,639764,599428,8007,1099729,186093,913636
comauto,1/1/1988,12/31/1994,84,634631,613573,3755,1099729,186093,913636
comauto,1/1/1988,12/31/1995,96,631044,619616,1633,1099729,186093,913636
comauto,1/1/1988,12/31/1996,108,629857,621956,1298,1099729,186093,913636
comauto,1/1/1988,12/31/1997,120,629146,626097,918,1099729,186093,913636
comauto,1/1/1989,12/31/1989,12,676688,173856,228252,1175712,211450,964262
comauto,1/1/1989,12/31/1990,24,694520,357652,108215,1175712,211450,964262
comauto,1/1/1989,12/31/1991,36,703946,488306,56767,1175712,211450,964262
comauto,1/1/1989,12/31/1992,48,704996,569371,36155,1175712,211450,964262
comauto,1/1/1989,12/31/1993,60,695533,624655,16453,1175712,211450,964262
comauto,1/1/1989,12/31/1994,72,689237,648988,8250,1175712,211450,964262
comauto,1/1/1989,12/31/1995,84,684654,662268,4051,1175712,211450,964262
comauto,1/1/1989,12/31/1996,96,681943,668959,2635,1175712,211450,964262
comauto,1/1/1989,12/31/1997,108,679999,674441,1489,1175712,211450,964262
comauto,1/1/1990,12/31/1990,12,741423,181888,270255,1278239,224216,1054021
comauto,1/1/1990,12/31/1991,24,751063,391331,126801,1278239,224216,1054021
comauto,1/1/1990,12/31/1992,36,748965,527129,60451,1278239,224216,1054021
comauto,1/1/1990,12/31/1993,48,747312,616793,31105,1278239,224216,1054021
comauto,1/1/1990,12/31/1994,60,743549,667426,16154,1278239,224216,1054021
comauto,1/1/1990,12/31/1995,72,739173,698277,9015,1278239,224216,1054021
comauto,1/1/1990,12/31/1996,84,732767,712917,5828,1278239,224216,1054021
comauto,1/1/1990,12/31/1997,96,731394,718396,3686,1278239,224216,1054021
comauto,1/1/1991,12/31/1991,12,757620,179520,272932,1359390,236436,1122954
comauto,1/1/1991,12/31/1992,24,768456,381993,138027,1359390,236436,1122954
comauto,1/1/1991,12/31/1993,36,766137,522324,73463,1359390,236436,1122954
comauto,1/1/1991,12/31/1994,48,755428,613352,34328,1359390,236436,1122954
comauto,1/1/1991,12/31/1995,60,749200,672472,18926,1359390,236436,1122954
comauto,1/1/1991,12/31/1996,72,739830,698335,10300,1359390,236436,1122954
comauto,1/1/1991,12/31/1997,84,735818,711762,5061,1359390,236436,1122954
comauto,1/1/1992,12/31/1992,12,809703,181066,288430,1410974,240705,1170269
comauto,1/1/1992,12/31/1993,24,811170,403957,143618,1410974,240705,1170269
comauto,1/1/1992,12/31/1994,36,801484,548391,74679,1410974,240705,1170269
comauto,1/1/1992,12/31/1995,48,784457,648274,32531,1410974,240705,1170269
comauto,1/1/1992,12/31/1996,60,775180,706559,18922,1410974,240705,1170269
comauto,1/1/1992,12/31/1997,72,772221,731033,11373,1410974,240705,1170269
comauto,1/1/1993,12/31/1993,12,862399,215436,309266,1456188,242507,1213680
comauto,1/1/1993,12/31/1994,24,846249,440324,141478,1456188,242507,1213680
comauto,1/1/1993,12/31/1995,36,851380,596185,76132,1456188,242507,1213680
comauto,1/1/1993,12/31/1996,48,837554,707671,36332,1456188,242507,1213680
comauto,1/1/1993,12/31/1997,60,834085,762039,21565,1456188,242507,1213680
comauto,1/1/1994,12/31/1994,12,934383,249231,318544,1586778,276991,1309786
comauto,1/1/1994,12/31/1995,24,913211,490657,140593,1586778,276991,1309786
comauto,1/1/1994,12/31/1996,36,912161,662138,75803,1586778,276991,1309786
comauto,1/1/1994,12/31/1997,48,915216,768095,38487,1586778,276991,1309786
comauto,1/1/1995,12/31/1995,12,958551,258839,324469,1608239,271990,1336249
comauto,1/1/1995,12/31/1996,24,943200,511937,154935,1608239,271990,1336249
comauto,1/1/1995,12/31/1997,36,928820,675166,82017,1608239,271990,1336249
comauto,1/1/1996,12/31/1996,12,921853,271565,310802,1601646,243381,1358266
comauto,1/1/1996,12/31/1997,24,904893,510191,134646,1601646,243381,1358266
comauto,1/1/1997,12/31/1997,12,919646,272342,304179,1620108,250275,1369835
medmal,1/1/1988,12/31/1988,12,380154,5934,239361,440469,35981,404488
medmal,1/1/1988,12/31/1989,24,345134,47258,109342,440469,35981,404488
medmal,1/1/1988,12/31/1990,36,323223,95054,67889,440469,35981,404488
medmal,1/1/1988,12/31/1991,48,308583,131616,42097,440469,35981,404488
medmal,1/1/1988,12/31/1992,60,297226,165117,26590,440469,35981,404488
medmal,1/1/1988,12/31/1993,72,273187,181937,18567,440469,35981,404488
medmal,1/1/1988,12/31/1994,84,260387,198395,9261,440469,35981,404488
medmal,1/1/1988,12/31/1995,96,240810,206068,518,440469,35981,404488
medmal,1/1/1988,12/31/1996,108,241022,213374,722,440469,35981,404488
medmal,1/1/1988,12/31/1997,120,236376,217239,-3158,440469,35981,404488
medmal,1/1/1989,12/31/1989,12,363266,9433,169589,476358,74256,402102
medmal,1/1/1989,12/31/1990,24,364326,51855,113421,476358,74256,402102
medmal,1/1/1989,12/31/1991,36,352822,98976,86181,476358,74256,402102
medmal,1/1/1989,12/31/1992,48,328256,149169,49311,476358,74256,402102
medmal,1/1/1989,12/31/1993,60,297773,175588,29113,476358,74256,402102
medmal,1/1/1989,12/31/1994,72,279108,197590,15247,476358,74256,402102
medmal,1/1/1989,12/31/1995,84,265990,211242,11888,476358,74256,402102
medmal,1/1/1989,12/31/1996,96,254703,217986,3780,476358,74256,402102
medmal,1/1/1989,12/31/1997,108,245846,222707,-2288,476358,74256,402102
medmal,1/1/1990,12/31/1990,12,421814,11996,211748,460119,62824,397295
medmal,1/1/1990,12/31/1991,24,415173,54742,130699,460119,62824,397295
medmal,1/1/1990,12/31/1992,36,390700,118964,79506,460119,62824,397295
medmal,1/1/1990,12/31/1993,48,351752,163695,42410,460119,62824,397295
medmal,1/1/1990,12/31/1994,60,327502,190391,26478,460119,62824,397295
medmal,1/1/1990,12/31/1995,72,309818,213972,14648,460119,62824,397295
medmal,1/1/1990,12/31/1996,84,296474,225199,7509,460119,62824,397295
medmal,1/1/1990,12/31/1997,96,280411,235717,-1911,460119,62824,397295
medmal,1/1/1991,12/31/1991,12,459573,9517,231715,436063,56161,379902
medmal,1/1/1991,12/31/1992,24,440929,73420,101172,436063,56161,379902
medmal,1/1/1991,12/31/1993,36,412603,146347,54027,436063,56161,379902
medmal,1/1/1991,12/31/1994,48,391085,199262,33990,436063,56161,379902
medmal,1/1/1991,12/31/1995,60,372147,244987,25055,436063,56161,379902
medmal,1/1/1991,12/31/1996,72,346853,260333,10605,436063,56161,379902
medmal,1/1/1991,12/31/1997,84,330443,275923,2477,436063,56161,379902
medmal,1/1/1992,12/31/1992,12,519397,12479,259854,426077,36919,389158
medmal,1/1/1992,12/31/1993,24,493296,78212,119285,426077,36919,389158
medmal,1/1/1992,12/31/1994,36,444814,157400,51288,426077,36919,389158
medmal,1/1/1992,12/31/1995,48,417376,209959,31979,426077,36919,389158
medmal,1/1/1992,12/31/1996,60,395223,244018,15395,426077,36919,389158
medmal,1/1/1992,12/31/1997,72,361505,267007,-3715,426077,36919,389158
medmal,1/1/1993,12/31/1993,12,510705,18229,243150,434936,51300,383636
medmal,1/1/1993,12/31/1994,24,474444,90710,91988,434936,51300,383636
medmal,1/1/1993,12/31/1995,36,455989,166325,57540,434936,51300,383636
medmal,1/1/1993,12/31/1996,48,428346,227891,18452,434936,51300,383636
medmal,1/1/1993,12/31/1997,60,409466,276235,-2289,434936,51300,383636
medmal,1/1/1994,12/31/1994,12,536609,14952,232231,470861,56616,414245
medmal,1/1/1994,12/31/1995,24,518333,94303,92030,470861,56616,414245
medmal,1/1/1994,12/31/1996,36,507586,186577,43964,470861,56616,414245
medmal,1/1/1994,12/31/1997,48,467341,252449,7198,470861,56616,414245
medmal,1/1/1995,12/31/1995,12,562089,17995,243805,530111,74015,456096
medmal,1/1/1995,12/31/1996,24,554926,110181,89171,530111,74015,456096
medmal,1/1/1995,12/31/1997,36,525577,209222,32599,530111,74015,456096
medmal,1/1/1996,12/31/1996,12,560248,20390,241886,548637,77111,471526
medmal,1/1/1996,12/31/1997,24,543519,107474,71992,548637,77111,471526
medmal,1/1/1997,12/31/1997,12,536705,20361,211083,574315,88006,486309
othliab,1/1/1988,12/31/1988,12,295980,31447,167233,699282,190942,508339
othliab,1/1/1988,12/31/1989,24,315210,87470,119272,699282,190942,508339
othliab,1/1/1988,12/31/1990,36,338804,146807,97624,699282,190942,508339
othliab,1/1/1988,12/31/1991,48,363137,220502,79690,699282,190942,508339
othliab,1/1/1988,12/31/1992,60,346240,256564,48838,699282,190942,508339
othliab,1/1/1988,12/31/1993,72,344589,282111,35774,699282,190942,508339
othliab,1/1/1988,12/31/1994,84,335925,300903,21799,699282,190942,508339
othliab,1/1/1988,12/31/1995,96,332360,308636,15333,699282,190942,508339
othliab,1/1/1988,12/31/1996,108,330068,314566,10933,699282,190942,508339
othliab,1/1/1988,12/31/1997,120,328473,317889,8914,699282,190942,508339
othliab,1/1/1989,12/31/1989,12,368104,36601,232957,739075,176003,563072
othliab,1/1/1989,12/31/1990,24,381310,99778,172543,739075,176003,563072
othliab,1/1/1989,12/31/1991,36,403298,178262,132319,739075,176003,563072
othliab,1/1/1989,12/31/1992,48,387153,238864,82665,739075,176003,563072
othliab,1/1/1989,12/31/1993,60,381975,289540,51909,739075,176003,563072
othliab,1/1/1989,12/31/1994,72,375069,318666,35198,739075,176003,563072
othliab,1/1/1989,12/31/1995,84,371826,331488,27084,739075,176003,563072
othliab,1/1/1989,12/31/1996,96,370760,343442,22960,739075,176003,563072
othliab,1/1/1989,12/31/1997,108,369781,350684,16536,739075,176003,563072
othliab,1/1/1990,12/31/1990,12,439327,41035,286927,784273,193177,591095
othliab,1/1/1990,12/31/1991,24,451038,108655,212373,784273,193177,591095
othliab,1/1/1990,12/31/1992,36,445084,190403,147589,784273,193177,591095
othliab,1/1/1990,12/31/1993,48,442867,262674,94041,784273,193177,591095
othliab,1/1/1990,12/31/1994,60,432438,302957,73025,784273,193177,591095
othliab,1/1/1990,12/31/1995,72,410970,334770,46105,784273,193177,591095
othliab,1/1/1990,12/31/1996,84,401935,352726,29499,784273,193177,591095
othliab,1/1/1990,12/31/1997,96,400764,361103,28601,784273,193177,591095
othliab,1/1/1991,12/31/1991,12,506952,39031,355140,833930,207171,626758
othliab,1/1/1991,12/31/1992,24,524877,126807,258632,833930,207171,626758
othliab,1/1/1991,12/31/1993,36,541149,227783,183719,833930,207171,626758
othliab,1/1/1991,12/31/1994,48,517003,316632,116598,833930,207171,626758
othliab,1/1/1991,12/31/1995,60,492355,368941,69183,833930,207171,626758
othliab,1/1/1991,12/31/1996,72,484540,402043,42211,833930,207171,626758
othliab,1/1/1991,12/31/1997,84,492904,426085,32191,833930,207171,626758
othliab,1/1/1992,12/31/1992,12,615057,42801,451320,868809,219481,649326
othliab,1/1/1992,12/31/1993,24,577169,126926,307999,868809,219481,649326
othliab,1/1/1992,12/31/1994,36,559277,222655,211808,868809,219481,649326
othliab,1/1/1992,12/31/1995,48,507029,304301,125778,868809,219481,649326
othliab,1/1/1992,12/31/1996,60,481369,350992,56559,868809,219481,649326
othliab,1/1/1992,12/31/1997,72,511188,389250,59967,868809,219481,649326
othliab,1/1/1993,12/31/1993,12,654480,44930,466724,950941,239031,711909
othliab,1/1/1993,12/31/1994,24,671243,173066,312670,950941,239031,711909
othliab,1/1/1993,12/31/1995,36,634771,293039,203361,950941,239031,711909
othliab,1/1/1993,12/31/1996,48,590862,378512,114188,950941,239031,711909
othliab,1/1/1993,12/31/1997,60,580380,434995,75713,950941,239031,711909
othliab,1/1/1994,12/31/1994,12,704053,54253,493463,1055864,248010,807854
othliab,1/1/1994,12/31/1995,24,685471,169202,334201,1055864,248010,807854
othliab,1/1/1994,12/31/1996,36,685201,296394,198254,1055864,248010,807854
othliab,1/1/1994,12/31/1997,48,680943,402244,99344,1055864,248010,807854
othliab,1/1/1995,12/31/1995,12,720797,39780,507656,1173617,255759,917859
othliab,1/1/1995,12/31/1996,24,674624,167908,323261,1173617,255759,917859
othliab,1/1/1995,12/31/1997,36,658667,294332,214395,1173617,255759,917859
othliab,1/1/1996,12/31/1996,12,796486,62630,559324,1233446,270733,962713
othliab,1/1/1996,12/31/1997,24,741233,191258,362246,1233446,270733,962713
othliab,1/1/1997,12/31/1997,12,743209,54130,522700,1246770,302148,944625
ppauto,1/1/1988,12/31/1988,12,8941766,3092818,2750049,10410312,302372,10107939
ppauto,1/1/1988,12/31/1989,24,8903239,5942711,1165217,10410312,302372,10107939
ppauto,1/1/1988,12/31/1990,36,8846699,7239089,702322,10410312,302372,10107939
ppauto,1/1/1988,12/31/1991,48,8828385,7930109,376856,10410312,302372,10107939
ppauto,1/1/1988,12/31/1992,60,8801335,8318795,209789,10410312,302372,10107939
ppauto,1/1/1988,12/31/1993,72,8785773,8518201,124209,10410312,302372,10107939
ppauto,1/1/1988,12/31/1994,84,8744784,8610355,56929,10410312,302372,10107939
ppauto,1/1/1988,12/31/1995,96,8729585,8655509,29875,10410312,302372,10107939
ppauto,1/1/1988,12/31/1996,108,8727447,8682451,20357,10410312,302372,10107939
ppauto,1/1/1988,12/31/1997,120,8723062,8690036,18090,10410312,302372,10107939
ppauto,1/1/1989,12/31/1989,12,10175203,3556683,3136102,11634879,361801,11273079
ppauto,1/1/1989,12/31/1990,24,10090363,6753435,1541971,11634879,361801,11273079
ppauto,1/1/1989,12/31/1991,36,10054397,8219551,795640,11634879,361801,11273079
ppauto,1/1/1989,12/31/1992,48,10005922,9018288,420305,11634879,361801,11273079
ppauto,1/1/1989,12/31/1993,60,9966886,9441842,236135,11634879,361801,11273079
ppauto,1/1/1989,12/31/1994,72,9927256,9647917,129455,11634879,361801,11273079
ppauto,1/1/1989,12/31/1995,84,9875390,9753014,46870,11634879,361801,11273079
ppauto,1/1/1989,12/31/1996,96,9865256,9800477,21857,11634879,361801,11273079
ppauto,1/1/1989,12/31/1997,108,9860747,9823747,12371,11634879,361801,11273079
ppauto,1/1/1990,12/31/1990,12,11542303,4015052,3992097,13073087,437780,12635305
ppauto,1/1/1990,12/31/1991,24,11268628,7478257,1845437,13073087,437780,12635305
ppauto,1/1/1990,12/31/1992,36,11132257,9094949,937232,13073087,437780,12635305
ppauto,1/1/1990,12/31/1993,48,11024980,9945288,497531,13073087,437780,12635305
ppauto,1/1/1990,12/31/1994,60,10950030,10371175,274382,13073087,437780,12635305
ppauto,1/1/1990,12/31/1995,72,10864027,10575467,130534,13073087,437780,12635305
ppauto,1/1/1990,12/31/1996,84,10803604,10671988,44615,13073087,437780,12635305
ppauto,1/1/1990,12/31/1997,96,10795387,10728411,23873,13073087,437780,12635305
ppauto,1/1/1991,12/31/1991,12,11803986,4065571,4103840,14422141,534110,13888032
ppauto,1/1/1991,12/31/1992,24,11529027,7564284,1981855,14422141,534110,13888032
ppauto,1/1/1991,12/31/1993,36,11317027,9161104,1043034,14422141,534110,13888032
ppauto,1/1/1991,12/31/1994,48,11152401,10006407,560326,14422141,534110,13888032
ppauto,1/1/1991,12/31/1995,60,10995911,10419901,288017,14422141,534110,13888032
ppauto,1/1/1991,12/31/1996,72,10869101,10612083,108950,14422141,534110,13888032
ppauto,1/1/1991,12/31/1997,84,10825784,10713621,34982,14422141,534110,13888032
ppauto,1/1/1992,12/31/1992,12,13099543,4551591,4472559,15802063,606511,15195554
ppauto,1/1/1992,12/31/1993,24,12675607,8344021,2233339,15802063,606511,15195554
ppauto,1/1/1992,12/31/1994,36,12363577,10047179,1200867,15802063,606511,15195554
ppauto,1/1/1992,12/31/1995,48,12079502,10901995,576805,15802063,606511,15195554
ppauto,1/1/1992,12/31/1996,60,11884469,11336777,246501,15802063,606511,15195554
ppauto,1/1/1992,12/31/1997,72,11806897,11555121,104773,15802063,606511,15195554
ppauto,1/1/1993,12/31/1993,12,14270532,5020277,4858029,17105386,737399,16367985
ppauto,1/1/1993,12/31/1994,24,13746124,9125734,2438850,17105386,737399,16367985
ppauto,1/1/1993,12/31/1995,36,13353699,10890282,1287852,17105386,737399,16367985
ppauto,1/1/1993,12/31/1996,48,12934778,11782219,526486,17105386,737399,16367985
ppauto,1/1/1993,12/31/1997,60,12772186,12249826,216041,17105386,737399,16367985
ppauto,1/1/1994,12/31/1994,12,15292476,5569355,5021298,18499871,803367,17696504
ppauto,1/1/1994,12/31/1995,24,14576397,9871002,2439429,18499871,803367,17696504
ppauto,1/1/1994,12/31/1996,36,13959314,11641397,1086922,18499871,803367,17696504
ppauto,1/1/1994,12/31/1997,48,13721867,12600432,469707,18499871,803367,17696504
ppauto,1/1/1995,12/31/1995,12,15324370,5803124,4793381,19619711,774859,18844853
ppauto,1/1/1995,12/31/1996,24,14632773,10008734,2393257,19619711,774859,18844853
ppauto,1/1/1995,12/31/1997,36,14008237,11807279,968719,19619711,774859,18844853
ppauto,1/1/1996,12/31/1996,12,15071754,5835368,4593186,20438906,885041,19553861
ppauto,1/1/1996,12/31/1997,24,14000714,9900842,1897438,20438906,885041,19553861
ppauto,1/1/1997,12/31/1997,12,14256459,5754249,3658053,20907366,868766,20038602
prodliab,1/1/1988,12/31/1988,12,152977,7719,94194,273689,38047,235644
prodliab,1/1/1988,12/31/1989,24,134765,17079,81490,273689,38047,235644
prodliab,1/1/1988,12/31/1990,36,142678,32138,55415,273689,38047,235644
prodliab,1/1/1988,12/31/1991,48,132822,55930,30255,273689,38047,235644
prodliab,1/1/1988,12/31/1992,60,127537,75400,13529,273689,38047,235644
prodliab,1/1/1988,12/31/1993,72,130700,99711,9942,273689,38047,235644
prodliab,1/1/1988,12/31/1994,84,124585,101039,10666,273689,38047,235644
prodliab,1/1/1988,12/31/1995,96,124234,104617,6301,273689,38047,235644
prodliab,1/1/1988,12/31/1996,108,125157,110040,7413,273689,38047,235644
prodliab,1/1/1988,12/31/1997,120,123424,110973,1404,273689,38047,235644
prodliab,1/1/1989,12/31/1989,12,156329,6387,124264,266312,39026,227284
prodliab,1/1/1989,12/31/1990,24,147046,17842,76592,266312,39026,227284
prodliab,1/1/1989,12/31/1991,36,164934,35429,62508,266312,39026,227284
prodliab,1/1/1989,12/31/1992,48,151579,57222,40179,266312,39026,227284
prodliab,1/1/1989,12/31/1993,60,143446,80791,26408,266312,39026,227284
prodliab,1/1/1989,12/31/1994,72,135096,95150,15141,266312,39026,227284
prodliab,1/1/1989,12/31/1995,84,131342,103731,8047,266312,39026,227284
prodliab,1/1/1989,12/31/1996,96,129196,112450,6555,266312,39026,227284
prodliab,1/1/1989,12/31/1997,108,129623,112614,7333,266312,39026,227284
prodliab,1/1/1990,12/31/1990,12,153967,8347,118731,260139,35873,224264
prodliab,1/1/1990,12/31/1991,24,163464,18022,91906,260139,35873,224264
prodliab,1/1/1990,12/31/1992,36,157356,36758,55326,260139,35873,224264
prodliab,1/1/1990,12/31/1993,48,155191,71537,34363,260139,35873,224264
prodliab,1/1/1990,12/31/1994,60,144908,87621,16037,260139,35873,224264
prodliab,1/1/1990,12/31/1995,72,139400,100813,10252,260139,35873,224264
prodliab,1/1/1990,12/31/1996,84,144752,121789,11777,260139,35873,224264
prodliab,1/1/1990,12/31/1997,96,143904,121255,11818,260139,35873,224264
prodliab,1/1/1991,12/31/1991,12,161047,7700,127559,260542,37335,223209
prodliab,1/1/1991,12/31/1992,24,155210,21502,78280,260542,37335,223209
prodliab,1/1/1991,12/31/1993,36,154054,43272,57341,260542,37335,223209
prodliab,1/1/1991,12/31/1994,48,138139,64383,35918,260542,37335,223209
prodliab,1/1/1991,12/31/1995,60,130849,78572,26481,260542,37335,223209
prodliab,1/1/1991,12/31/1996,72,126986,93042,16820,260542,37335,223209
prodliab,1/1/1991,12/31/1997,84,128977,100276,5837,260542,37335,223209
prodliab,1/1/1992,12/31/1992,12,150926,8223,117034,250249,41347,208902
prodliab,1/1/1992,12/31/1993,24,150118,23181,83962,250249,41347,208902
prodliab,1/1/1992,12/31/1994,36,140933,37376,54981,250249,41347,208902
prodliab,1/1/1992,12/31/1995,48,128428,52041,37993,250249,41347,208902
prodliab,1/1/1992,12/31/1996,60,112521,72611,25929,250249,41347,208902
prodliab,1/1/1992,12/31/1997,72,104923,76059,10273,250249,41347,208902
prodliab,1/1/1993,12/31/1993,12,151363,12122,111399,255154,42993,212161
prodliab,1/1/1993,12/31/1994,24,138155,26156,72780,255154,42993,212161
prodliab,1/1/1993,12/31/1995,36,140392,48834,37785,255154,42993,212161
prodliab,1/1/1993,12/31/1996,48,137466,82909,22118,255154,42993,212161
prodliab,1/1/1993,12/31/1997,60,136748,94462,18006,255154,42993,212161
prodliab,1/1/1994,12/31/1994,12,162162,7596,122597,290196,55526,234670
prodliab,1/1/1994,12/31/1995,24,164685,19404,76652,290196,55526,234670
prodliab,1/1/1994,12/31/1996,36,151126,65507,28255,290196,55526,234670
prodliab,1/1/1994,12/31/1997,48,166509,111264,19504,290196,55526,234670
prodliab,1/1/1995,12/31/1995,12,186276,10264,142275,308925,59975,248951
prodliab,1/1/1995,12/31/1996,24,170009,44816,74229,308925,59975,248951
prodliab,1/1/1995,12/31/1997,36,165786,62018,40096,308925,59975,248951
prodliab,1/1/1996,12/31/1996,12,165772,20162,124696,305778,52542,253235
prodliab,1/1/1996,12/31/1997,24,160219,28107,84130,305778,52542,253235
prodliab,1/1/1997,12/31/1997,12,155152,10682,113667,264823,30438,234381
wkcomp,1/1/1988,12/31/1988,12,1273279,285804,433156,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1989,24,1343238,638532,235387,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1990,36,1356530,865100,138378,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1991,48,1351429,996363,100745,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1992,60,1379353,1084351,104912,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1993,72,1377612,1133188,89602,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1994,84,1363000,1169749,72614,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1995,96,1362205,1196917,61555,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1996,108,1362009,1229203,50842,1836410,145279,1691130
wkcomp,1/1/1988,12/31/1997,120,1356500,1241715,43186,1836410,145279,1691130
wkcomp,1/1/1989,12/31/1989,12,1383700,307720,497807,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1990,24,1441224,684140,261327,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1991,36,1433627,916996,157473,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1992,48,1472238,1065674,142218,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1993,60,1473424,1154072,117514,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1994,72,1460943,1210479,95875,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1995,84,1458170,1249886,80945,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1996,96,1455562,1291512,66094,1959158,161228,1797930
wkcomp,1/1/1989,12/31/1997,108,1457444,1308706,68741,1959158,161228,1797930
wkcomp,1/1/1990,12/31/1990,12,1477245,320124,571069,2111223,230907,1880315
wkcomp,1/1/1990,12/31/1991,24,1621324,757479,350013,2111223,230907,1880315
wkcomp,1/1/1990,12/31/1992,36,1605337,1017144,214482,2111223,230907,1880315
wkcomp,1/1/1990,12/31/1993,48,1602578,1169014,165387,2111223,230907,1880315
wkcomp,1/1/1990,12/31/1994,60,1584751,1258975,131025,2111223,230907,1880315
wkcomp,1/1/1990,12/31/1995,72,1570110,1315368,104499,2111223,230907,1880315
wkcomp,1/1/1990,12/31/1996,84,1568607,1368374,93032,2111223,230907,1880315
wkcomp,1/1/1990,12/31/1997,96,1573819,1394675,90652,2111223,230907,1880315
wkcomp,1/1/1991,12/31/1991,12,1629195,347417,662701,2350905,286070,2064835
wkcomp,1/1/1991,12/31/1992,24,1694048,793749,394755,2350905,286070,2064835
wkcomp,1/1/1991,12/31/1993,36,1686692,1053414,249695,2350905,286070,2064835
wkcomp,1/1/1991,12/31/1994,48,1661484,1209556,174839,2350905,286070,2064835
wkcomp,1/1/1991,12/31/1995,60,1639743,1307164,131511,2350905,286070,2064835
wkcomp,1/1/1991,12/31/1996,72,1638468,1381645,113808,2350905,286070,2064835
wkcomp,1/1/1991,12/31/1997,84,1640956,1414747,110171,2350905,286070,2064835
wkcomp,1/1/1992,12/31/1992,12,1634231,342982,700041,2450186,260739,2189448
wkcomp,1/1/1992,12/31/1993,24,1749947,781402,443174,2450186,260739,2189448
wkcomp,1/1/1992,12/31/1994,36,1689300,1014982,284791,2450186,260739,2189448
wkcomp,1/1/1992,12/31/1995,48,1621422,1172915,169164,2450186,260739,2189448
wkcomp,1/1/1992,12/31/1996,60,1600524,1281864,130575,2450186,260739,2189448
wkcomp,1/1/1992,12/31/1997,72,1604332,1328801,128255,2450186,260739,2189448
wkcomp,1/1/1993,12/31/1993,12,1719891,342385,778354,2749335,266678,2482657
wkcomp,1/1/1993,12/31/1994,24,1714687,743433,489793,2749335,266678,2482657
wkcomp,1/1/1993,12/31/1995,36,1643956,959147,322285,2749335,266678,2482657
wkcomp,1/1/1993,12/31/1996,48,1556461,1113314,191805,2749335,266678,2482657
wkcomp,1/1/1993,12/31/1997,60,1548909,1187581,177681,2749335,266678,2482657
wkcomp,1/1/1994,12/31/1994,12,1785215,351060,815658,2855043,260255,2594787
wkcomp,1/1/1994,12/31/1995,24,1750992,750392,520760,2855043,260255,2594787
wkcomp,1/1/1994,12/31/1996,36,1638790,993751,325281,2855043,260255,2594787
wkcomp,1/1/1994,12/31/1997,48,1569161,1114842,235860,2855043,260255,2594787
wkcomp,1/1/1995,12/31/1995,12,1750767,343841,804870,2880915,264081,2616831
wkcomp,1/1/1995,12/31/1996,24,1692856,768575,493436,2880915,264081,2616831
wkcomp,1/1/1995,12/31/1997,36,1614463,962081,340708,2880915,264081,2616831
wkcomp,1/1/1996,12/31/1996,12,1625977,381484,684903,2682543,261887,2420655
wkcomp,1/1/1996,12/31/1997,24,1560165,736040,403513,2682543,261887,2420655
wkcomp,1/1/1997,12/31/1997,12,1502410,340132,597906,2463062,255163,2207902
